,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
15,16,45,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,0,0,832,GasA,Ex,Y,FuseA,6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,TA,Typ,0,576,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,11.790557201568507
16,17,20,RL,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,578,0,426,GasA,Ex,Y,SBrkr,6.911747300251674,0,0,6.911747300251674,1,0,1,0,2,1,TA,Typ,1,480,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,11.911701584927597
17,18,90,RL,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,0,0,0,GasA,TA,Y,SBrkr,7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,TA,Typ,0,516,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,11.407564949312402
18,19,20,RL,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,646,0,468,GasA,Ex,Y,SBrkr,7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,Gd,Typ,0,576,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,11.976659481202368
19,20,20,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,504,0,525,GasA,TA,Y,SBrkr,7.199678345691172,0,0,7.199678345691172,0,0,1,0,3,1,TA,Min1,0,294,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,11.842229212112828
20,21,60,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1158,GasA,Ex,Y,SBrkr,7.05444965813294,1218,0,7.773173680482536,0,0,3,1,4,1,Gd,Typ,1,853,Y,240,154,0,0,0,0,0,11,2006,New,Partial,12.692503112461443
21,22,45,RM,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,637,GasA,Ex,Y,FuseF,7.010311867307229,0,0,7.010311867307229,0,0,1,0,3,1,Gd,Typ,1,280,N,0,0,205,0,0,0,0,6,2007,WD,Normal,11.845102777308561
22,23,20,RL,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1777,GasA,Ex,Y,SBrkr,7.492760300922379,0,0,7.492760300922379,0,0,2,0,3,1,Gd,Typ,1,534,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,12.345834587905333
23,24,120,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,840,0,200,GasA,TA,Y,SBrkr,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,TA,Typ,1,572,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,11.77452020265869
24,25,20,RL,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,188,668,204,GasA,Ex,Y,SBrkr,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,Gd,Typ,1,270,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,11.944707881395766
25,26,20,RL,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1566,GasA,Ex,Y,SBrkr,7.3777589082278725,0,0,7.3777589082278725,0,0,2,0,3,1,Gd,Typ,1,890,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,12.454103912352162
26,27,20,RL,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,234,486,180,GasA,TA,Y,SBrkr,6.802394763324311,0,0,6.802394763324311,0,1,1,0,3,1,Gd,Typ,0,576,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,11.811547477460344
27,28,20,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1218,0,486,GasA,Ex,Y,SBrkr,7.440733707389261,0,0,7.440733707389261,1,0,2,0,3,1,Gd,Typ,1,772,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,12.631340380934517
28,29,20,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1277,0,207,GasA,TA,Y,SBrkr,7.3777589082278725,0,0,7.3777589082278725,1,0,1,0,2,1,TA,Typ,2,319,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,12.24288661865289
29,30,30,RM,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,520,GasA,Fa,N,SBrkr,6.253828811575473,0,0,6.253828811575473,0,0,1,0,1,1,Fa,Typ,0,240,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,11.134589024250317
30,31,70,C (all),8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,0,0,649,GasA,TA,N,SBrkr,6.47543271670409,668,0,7.183111701743281,0,0,1,0,3,1,TA,Typ,0,250,N,0,54,172,0,0,0,0,7,2008,WD,Normal,10.596634733096073
31,32,20,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,0,0,1228,GasA,Gd,Y,SBrkr,7.113142108707088,0,0,7.113142108707088,0,0,1,1,3,1,Gd,Typ,0,271,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,11.914047823644255
32,33,20,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1234,GasA,Ex,Y,SBrkr,7.1180162044653335,0,0,7.1180162044653335,0,0,2,0,3,1,Gd,Typ,0,484,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,12.100156419938624
33,34,20,RL,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,1018,0,380,GasA,Gd,Y,SBrkr,7.438383530044307,0,0,7.438383530044307,0,1,1,1,4,1,Gd,Typ,1,447,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,12.016726473799254
34,35,120,RL,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1153,0,408,GasA,Ex,Y,SBrkr,7.353081920515432,0,0,7.353081920515432,1,0,2,0,2,1,Ex,Typ,1,556,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,12.533576212168626
35,36,60,RL,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1117,GasA,Ex,Y,SBrkr,7.0317412587631285,1320,0,7.804659297056102,0,0,3,1,4,1,Gd,Typ,1,691,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,12.641096555879882
36,37,20,RL,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0,0,1097,GasA,Ex,Y,SBrkr,7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,TA,Typ,0,672,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,11.884489021402711
37,38,20,RL,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1213,0,84,GasA,Gd,Y,SBrkr,7.167809184316444,0,0,7.167809184316444,0,1,1,0,3,1,TA,Typ,1,498,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,11.938193200374572
38,39,20,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,731,0,326,GasA,TA,Y,SBrkr,6.963189985870238,0,0,6.963189985870238,1,0,1,0,3,1,Gd,Typ,0,246,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,11.59910316121128
39,40,90,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,0,0,0,GasA,TA,N,FuseP,7.049254841255837,0,0,7.049254841255837,0,0,2,0,2,2,Fa,Typ,0,0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,11.314474526246391
40,41,20,RL,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,643,0,445,GasA,Ex,Y,SBrkr,7.188412736496954,0,0,7.188412736496954,0,0,2,0,3,1,TA,Typ,1,440,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,11.982929094215963
41,42,20,RL,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,967,0,383,GasA,Gd,Y,SBrkr,7.191429330036379,0,0,7.191429330036379,0,1,1,1,2,1,TA,Typ,2,308,P,0,104,0,0,0,0,0,7,2007,WD,Normal,12.043553716032399
42,43,85,RL,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,747,93,0,GasA,Gd,Y,SBrkr,6.784457062637643,0,0,6.784457062637643,1,0,1,0,2,1,Gd,Typ,0,504,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,11.877568578558138
43,44,20,RL,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,280,491,167,GasA,TA,Y,SBrkr,6.843749949006225,0,0,6.843749949006225,1,0,1,0,3,1,TA,Typ,0,308,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,11.777210959615614
44,45,20,RL,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,179,506,465,GasA,Ex,Y,FuseA,7.047517221357296,0,0,7.047517221357296,1,0,1,0,3,1,TA,Typ,0,300,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,11.856515169360305
45,46,120,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,456,0,1296,GasA,Ex,Y,SBrkr,7.468513271496337,0,0,7.468513271496337,1,0,2,0,2,1,Ex,Typ,1,576,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,12.675763725937609
46,47,50,RL,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1351,0,83,GasA,Ex,Y,SBrkr,7.325148957955575,631,0,7.67275789664251,1,0,1,1,1,1,Gd,Typ,1,670,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,12.387085012375499
47,48,20,FV,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1632,GasA,Ex,Y,SBrkr,7.412160334945205,0,0,7.412160334945205,0,0,2,0,3,1,Gd,Typ,0,826,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,12.428015476267865
48,49,190,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,736,GasA,Gd,Y,SBrkr,6.601230118728877,716,0,7.280697195384741,0,0,2,0,2,3,TA,Typ,0,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,11.635143097694478
49,50,20,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,763,0,192,GasA,Ex,Y,SBrkr,6.86171134048073,0,0,6.86171134048073,1,0,1,0,3,1,TA,Typ,0,386,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,11.751942365440728
50,51,60,RL,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,182,0,612,GasA,Gd,Y,SBrkr,6.677083461247136,676,0,7.293017679772782,0,1,2,0,3,1,TA,Typ,0,388,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,12.083905011555967
51,52,50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,816,GasA,TA,Y,SBrkr,6.704414354964107,0,360,7.069874128458572,0,0,1,0,3,1,TA,Typ,1,528,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,11.648330101976432
52,53,90,RM,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,104,712,0,GasA,TA,N,SBrkr,6.704414354964107,0,0,6.704414354964107,1,0,1,0,2,1,TA,Typ,0,516,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,11.608235644774552
53,54,20,RL,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,1810,0,32,GasA,Gd,Y,SBrkr,7.518607216815252,0,0,7.518607216815252,2,0,0,1,0,1,Gd,Typ,1,894,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,12.86099861326992
54,55,80,RL,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,384,0,0,GasA,TA,Y,SBrkr,7.215239978730097,0,0,7.215239978730097,0,0,1,0,3,1,TA,Min1,1,572,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,11.77528972943772
55,56,20,RL,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,490,0,935,GasA,Gd,Y,SBrkr,7.261927092702751,0,0,7.261927092702751,0,0,2,0,3,1,TA,Typ,1,576,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,12.103486056755072
56,57,160,FV,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,649,0,321,GasA,Ex,Y,SBrkr,6.890609120147166,756,0,7.461065514354283,1,0,2,1,3,1,Gd,Typ,0,480,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml,12.058152515453552
57,58,60,RL,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,860,GasA,Ex,Y,SBrkr,6.756932389247553,860,0,7.450079569807499,0,0,2,1,3,1,Gd,Typ,0,565,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,12.188417710291453
58,59,60,RL,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,0,0,1410,GasA,Ex,Y,SBrkr,7.262628600974241,1519,0,7.987864096085687,0,0,3,1,3,1,Gd,Typ,1,641,Y,192,0,37,0,0,0,0,10,2006,New,Partial,12.991753427493052
59,60,20,RL,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,632,0,148,GasA,Ex,Y,SBrkr,6.659293919683638,0,0,6.659293919683638,0,0,1,0,2,1,TA,Typ,0,352,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,11.73526869611367
60,61,20,RL,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,941,0,217,GasA,Ex,Y,SBrkr,7.05444965813294,0,0,7.05444965813294,1,0,1,1,3,1,Gd,Typ,0,576,Y,0,50,0,0,0,0,0,5,2006,New,Partial,11.970350312009105
61,62,75,RM,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,530,GasA,TA,N,SBrkr,6.364750756851911,530,0,7.01301578963963,0,0,1,0,3,1,Fa,Typ,0,288,N,0,0,144,0,0,0,0,3,2007,WD,Normal,11.522875795823397
62,63,120,RL,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1346,GasA,Ex,Y,SBrkr,7.222566018822171,0,0,7.222566018822171,0,0,2,0,2,1,Gd,Typ,1,484,Y,120,49,0,0,0,0,0,10,2007,WD,Normal,12.218495165528731
